S41|ḏꜥm,Dam|11|38
S42|sḫm,ḫrp,sxm,xrp|12|38
S43|md|7|38
S44||16|38
S45||28|30
S5||30|38
S6||38|38
S7||37|38
S8||37|38
S9||26|38
SPACE||38|13
T1|mn|36|9
T10||38|6
T11|swn|37|8
T12|rwd,rwḏ|25|27
T13|rs|14|38
T14||11|38
T15||8|38
T16||38|12
T17||38|25
T18|šms,Sms|11|37
T19|qs|11|38
T2||37|21
T20||7|38
T21|wꜥ,wa|38|15
T22|sn|11|38
T23||11|36
T24|ỉḥ,ꜥḥ,iH,aH|29|25
T25|dbꜣ,ḏbꜣ,dbA,DbA|20|37
T26||38|26
T27||38|15
T28|ẖr,Xr|19|18
T29||38|31
T3|ḥḏ,HD|8|38
T30||38|18
T31|sšm,sSm|36|20
T32||36|30
T33||38|18
T34|nm|10|38
T35|nm|7|38
T4|ḥḏ,HD|15|38
T5|ḥḏ,HD|35|38
T6|ḥḏḏ,HDD|35|38
T7||38|11
T7A||20|38
T8|tp|9|38
T8A||11|38
T8B||38|11
T9|pd,pḏ|38|7
T9A||38|8
THREE||34|24
TWO||21|24
Tr_HSPACE||5|15
Tr_SPACE||38|13
U1|mꜣ,mA|36|38
U10||34|28
U11||29|38
U12||29|38
U13|šnꜥ,hb,Sna|37|26
U14|šnꜥ,Sna|38|14
U15|tm|38|16
U16|bjꜣ,biA,byA,bjA|38|25
U17|grg,gr|32|23
U18||38|29
U19|nw|34|25
U2||38|24
U20||36|9
U21|stp,sṯp,sTp|36|22
U22||12|24
U23|ꜣb,mr,Ab|8|38
U24||12|38
U25||15|38
U26||12|38
U27||8|38
U28|wḏꜣ,wDA,ḏꜣ,DA|13|38
U29|ḏꜣ,DA|13|38
U3|mꜣ,mA|38|38
U30|tꜣ,tA|16|22
U31||37|16
U32||14|38
U33|tỉ,ti,ty,tj|9|38
U34|ḫsf,xsf|12|38
U35|ḫsf,xsf|32|38
U35s||23|27
U36|ḥm,Hm|8|38
U37||32|26
U38||38|38
U39||12|38
U4|mꜣꜥ,mAa|38|38
U40||20|38
U41||20|34
U5||38|24
U6|mr|24|37
U7||36|18
U8|ḥn,Hn|30|16
U9||34|22
V1|šn,Sn|10|20
V10||38|19
V10A||14|40
V11||19|19
V11A||16|40
V12||29|18
V13|T,ṯ|38|10
V14||38|10
V15|ỉṯ,iT,yT,jT|38|25
V16|zꜣ,zA|37|19
V17|zꜣ,zA|13|38
V18||13|38
V19||23|23
V2||38|16
V20|mḏ,mD|12|13
V21|mḏ,mD|35|38
V22|mḥ,mH|38|25
V23||38|27
V24|wḏ,wD|7|38
V25|wḏ,wD|9|38
V26|ꜥd,ꜥḏ,ad,aD|38|9
V27|ꜥḏ,aD|38|7
V28|H,ḥ|10|38
V29|wꜣḥ,sk,wAH|18|38
V3||38|15
V30|nb|38|12
V31|k|38|11
V31A||38|11
V32|msn|38|12
V33||16|22
V34||18|26
V35||19|24
V36|ḥn,Hn|18|38
V37||27|24
V38||11|38
V39||18|38
V4|wꜣ,wA|32|36
V5||20|38
V6|šs,šsr,Ss,Ssr|11|22
V7|šn,Sn|9|26
V8||12|28
V9||20|20
VTHREE||25|34
V_HASH||15|38
W1||20|38
W10|ḥnw,bꜣ,Hnw,bA|21|14
W10A|bꜣ,bA|15|15
W11|g|21|18
W12||21|18
W13||21|19
W14|ḥz,Hz|12|38
W15||19|38
W16||26|38
W17|ḫnt,xnt|32|38
W18||40|38
W19|mỉ,mi,my,mj|15|38
W19s||10|27
W2|bꜣs,bAs|24|38
W20||18|37
W21||21|21
W22||12|19
W23||19|20
W24|ỉn,nw,ỉnk,in,yn,jn,jnk,ynj,ink|16|17
W25|ỉn,in,yn,jn|17|38
W3||38|14
W4||38|38
W5||38|34
W6||22|14
W7||25|22
W8||38|12
W9|ẖnm,Xnm|16|24
X1|t|20|11
X2||13|20
X3||10|19
X4||38|10
X5||38|11
X6||24|18
X7||12|17
X8|dỉ,ḏỉ,di,dy,dj,Di,Dy,Dj|19|38
Y1&A1|Y1:A1|38|38
Y1&n&f|Y1:n:f,Y1:N35:I9|38|38
Y1|mḏꜣt,mDAt|38|10
Y1V||10|38
Y2||38|10
Y3||31|38
Y4||31|38
Y5|mn|38|13
Y6||12|23
Y7||18|36
Y8||21|38
Z1||4|16
Z10||24|15
Z11|ỉm,imi,im,ym,jm,imi,ymy,jmj,imy|23|38
Z1s||4|11
Z2||38|11
Z2s||28|11
Z2ss||18|11
Z3||2|38
Z3A||11|38
Z3as||11|18
Z4|y|16|14
Z4B||20|20
Z5||14|14
Z6&A1|Z6:A1|38|38
Z6||38|21
Z7|W|12|17
Z8||34|11
Z9|swꜣ,sḏ,ḫbs,šbn,wp,wr,swA,sD,xbs,Sbn|16|16
Z91||12|4
Z92||12|15
Z93||12|26
Z94||12|38
Z95||12|38
Z98A||5|15
a&A1|a:A1,D36:A1|37|38
a&D|a:D,D36:I10|37|38
a&F51a&Z2|a:F51a:Z2,D36:F51a:Z2|38|38
a&b&t|a:b*t,D36:D58*X1|37|38
a&n&D|a:n:D,D36:N35:I10|37|38
a&r&t|a:r:t,a:r*t,D36:D21:X1,D36:D21*X1|45|38
a&t&x|a:t:x,a:t*x,D36:X1:Aa1,D36:X1*Aa1|37|38
b&Hb|b:Hb,D58:W3,b:W3|38|38
b&t|b:t,D58:X1|18|38
bA&k|bA:k,G29:V31,G29:k|38|38
d&w|d:w,D46:G43|37|38
f&n&d|f:n:d,I9:N35:D46|37|38
f&r&t|f:r:t,I9:D21:X1|38|38
hatching||75|46
ini&n&n|ini:n:n,jnj:n:n,W25:n:n,W25:N35:N35|37|38
ini&n|ini:n,jnj:n,W25:n,W25:N35|37|38
ir&n&f|ir:n:f,jr:n:f,D6:n:f,D6:N35:I9|37|38
ir&n&k|ir:n:k,jr:n:k,D6:n:k,D6:N35:V31|37|38
ir&r&f|ir:r:f,jr:r:f,D6:r:f,D6:D21:I9|38|38
ir&t&f|ir:t:f,jr:t:f,D6:t:f,D6:X1:I9|38|38
ir&t&n|ir:t:n,jr:t:n,D6:t:n,D6:X1:N35|37|38
m&&t|m:t,G17:X1|24|38
m&a|m:a,G17:D36|37|38
m&f|m:f,G17:I9|38|38
m&n|m:n,G17:N35|37|38
m&r|m:r,G17:D21|38|38
m&t|m*t,G17*X1|38|38
mn&n&t|mn:n:t,Y5:n:t,Y5:N35:X1|38|38
mn&n&x|mn:n:x,Y5:n:x,Y5:N35:Aa1|38|38
mr&&r&r|mr:r*r,U6:r*r,U7:r*r,U6:D21*D21,U7:D21*D21|49|38
mr&r&r|mr:r:r,U6:r:r,U7:r:r,U6:D21:D21,U7:D21:D21|38|38
mr&r&t|mr:r*t,U6:r*t,U7:r*t,U6:D21*X1,U7:D21*X1|45|38
n&A1|n:A1,N35:A1|37|38
n&D|n:D,N35:I10|37|38
n&U19&nw|n:U19:nw,n:U19:W24*W,N35:U19:W24,N35:U19:W24*Z7|37|38
n&f&n|n:f:n,N35:I9:N35|38|38
n&f&t|n:f:t,N35:I9:X1|37|38
n&n&a|n:n:a,N35:N35:D36|37|38
n&n&f|n:n:f,N35:N35:I9|38|38
n&nH|n:nH,n:G21,N35:G21|37|38
n&nm&m|n:nm*m,n:T34*m,N35:T34*G17|37|38
n&t&f|n:t:f,N35:X1:I9|37|38
n&t&k|n:t:k,N35:X1:V31|37|38
n&t&t|n:t:t,N35:X1:X1,n:t*t,N35:X1*X1|37|38
n&w|n:w,N35:G43|37|38
n&wa&w|n:wa:W,n:T21:W,N35:T21:Z7|37|38
n&x&f|n:x:f,N35:Aa1:I9|37|38
